Exp_ID,Model,Train_MAE,Val_MAE,Test_MAE,Test_RMSE,Training_Time_sec,Timestamp
exp_008_ridge,Ridge,0.1517476771328904,0.1509713192802362,0.1478639129044461,0.1862412113438277,0.0018799304962158,2026-04-30 10:22:56
exp_009_xgboost,XGBoost,0.1413919109383017,0.151332935969539,0.1499805225591126,0.1890943968813238,0.2066502571105957,2026-04-30 10:22:56
exp_010_lightgbm,LightGBM,0.1390880170453251,0.1510416209980737,0.15054727703762,0.1896288799233725,0.4353940486907959,2026-04-30 10:22:56
exp_011_xgboost,XGBoost,0.097635995072042,0.1533680774107541,0.1506063999886485,0.1891698471012567,0.7373838424682617,2026-04-30 10:23:03
exp_012_gradientboosting,GradientBoosting,0.1019240350594607,0.1532814281741783,0.1510913553208115,0.1902654189193481,41.75551104545593,2026-04-30 10:23:47
exp_013_randomforest,RandomForest,0.0590100927702514,0.1515774776791146,0.1495858163847583,0.1889862126114846,8.451637029647827,2026-04-30 10:23:56
exp_014_svr,SVR,0.0099892641509754,0.1646078597746136,0.1610991925874026,0.203833494635359,1.5593161582946775,2026-04-30 10:24:00
exp_015_ridge_realdata,Ridge_RealData,0.0071390240350409,0.0073928766396035,0.0071544073031441,0.0117335441653029,0.1057257652282714,2026-04-30 11:12:24
exp_016_lightgbm_realdata,LightGBM_RealData,0.0071231145455816,0.0085638916730789,0.0100557647852737,0.0168009304377525,4.893321990966797,2026-04-30 11:12:31
exp_017_xgboost_realdata,XGBoost_RealData,0.0071579194265646,0.0089379295616526,0.0101779073548148,0.0186450834421607,3.6750071048736577,2026-04-30 11:12:35
exp_018_ridge_realdata,Ridge_RealData,0.0071385096639935,0.00710391028127,0.0081554127618908,0.0127446062896812,0.0863790512084961,2026-04-30 14:23:30
exp_019_lightgbm_realdata,LightGBM_RealData,0.0070979889625287,0.0085703887770963,0.0102314494147446,0.0192449008499949,6.202322959899902,2026-04-30 14:23:39
exp_020_xgboost_realdata,XGBoost_RealData,0.0071782991716201,0.0086075818565081,0.0107712318958494,0.0189738702080524,5.194754123687744,2026-04-30 14:23:44
exp_021_ridge_optuna,Ridge,0.0072059572143553,0.0070659825298322,0.0077840779574841,0.0123969215204596,0.0813210010528564,2026-04-30 14:26:06
exp_022_xgboost_optuna,XGBoost,0.0073559280159722,0.0073852891973111,0.0087228651658941,0.0166684508878258,7.309607982635498,2026-04-30 14:32:55
exp_023_lightgbm_optuna,LightGBM,0.006997692293047857,0.007345507671718456,0.008820962800572167,0.016439346015399876,3.2788479328155518,2026-04-30 14:41:07
